,phrase,sentiment_values
12602,"If you ' ve grown wear upon of going where no man has go before, but respective movies have - learn nub.",3
12603,This is the best Star Trek movie in a retentive metre.,4
12604,Greg Kinnear give a spellbinding performance as a full - fledged sex addict who be in complete denial about his obsessional behavior.,4
12605,"Not only a coming - of - age news report and cautionary allegory, just as well a perfectly rendered period man.",4
12606,"ou ' ve become to love a Walter elias disney moving picture with equally piffling cleavage as this one has, and a heroine as feisty and principled as Jane.",3
12607,"A funny remark, triumphant, and move documentary.",4
12608,"Lathan and Diggs transmit the film with their personal magnetism, and both exhibit sharp comic timing that makes the more hackneyed elements of the picture show well heeled to digest.",3
12609,"About Helmut heinrich waldemar schmidt be Nicholson ' atomic number 16 goofy, heartfelt, mesmerizing King Lear.",3
12610,"A confluence of kiddie amusement, sophisticated wit and symbolic graphic conception.",3
12611,"Gay beaver state straight, Kissing Jessica Stein be ane of the greatest date movies in years.",4
12612,"This constitute a movie full of grace and, at last, bob hope.",4
12613,Even honorable than the maiden one!,4
12614,"Its compelling mix of trial moving picture show, escape movie and unexpected fable ensures the movie never feels draggy.",3
12615,A must get wind for all sides of the political spectrum,4
12616,"Thither are problems with this film that even 3 Oscar winners ca n ' t overcome, simply it ' s a nice girl - buddy movie once it gets rock - n - roll.",2
12617,"Rich people in atmosphere of the post - war art world, it pull off to instruct without reek of research library dust.",3
12618,Has the rarefied capacity to soothe and break your center with a undivided stroke.,3
12619,Information technology rapidly formulate into a gut - wrenching examen of the way cultural differences and emotional expectations clash.,3
12620,"Though it flirts with bathos and ruth and the farther Oprahfication of the world as we be intimate it, it still trend all the way down to broken bone.",2
12621,"This humbling little film, fueled by the light comedic work of Zhao Benshan and the delicate ways of Dong Jie, is hardly the sort for those motion picture fan who complain that ` they cause n ' t make movies corresponding they use to anymore. '",3
12622,It will break your heart many metre all over.,2
12623,A straight - shooting family film which grant animal the respectfulness they ' ve rarely embody given.,4
12624,"Overall, interesting as a documentary - - but non rattling Imaxy.",2
12625,This follow one of those warfare movies that focuses on human fundamental interaction quite than conflict and action sequences. .. and information technology ' s all the stronger because of information technology.,4
12626,"` ` Secretary ' ' is owned by it costars, Spader and Gyllenhaal.",2
12627,Maggie G. makes an awe inspiring breakthrough in her initiatory starring role and eats upwards the screen.,4
12628,"The moving picture show fits into a genre that get been overexposed, redolent of a thou cliches, and yet remain uniquely itself, vibrant with originality.",3
12629,"Non simply be it a charming, funny and attractively crafted consequence, information technology apply very little duologue, making it relatively effortless to record and follow the action at the same time.",4
12630,The sort of sense of humor that derives from a workman ' s clutch of punning and entendre and its attendant need to constantly draw attention to itself.,2
12631,"Too much of Storytelling move away from Solondz ' s social critical review, wander information technology audience as that of intellectual lector in contemplation of the auteur ' s professional injuries.",1
12632,"The story is virtually impossible to follow here, but on that point ' s a certain dash and card to the negotiation.",2
12633,"The music makes a squeamish record album, the food comprise enticing and Italian republic beckons u.s. all.",4
12634,"The film is an solemn attempt at beachcombing verismo, but information technology would be still more indistinct than it is be it non for the striking, quietly vulnerable personality of Ms. Saint ambrose.",1
12635,"The film follow small in scope, yet perfectly mould.",4
12636,Mary harris jones has present a solidly entertaining and travel family drama.,4
12637,Happy Times maintains an appeal veneer without becoming too cute astir it.,3
12638,Oliveira appear to pursue silent film representation with every plaintive composition.,2
12639,"Unrivalled of the pleasures in Walter ' s documentary. .. personify the parade of veteran painter, confounded dealer, and mixed bohos world health organization exposit upon the subject ' s mysterious personality without always explaining him.",2
12640,"Captures entirely the hungriness, anguish and ache, the jumble intimate subject matter and the wish to make up a part of that elusive adult world.",3
12641,He ' s the scariest bozo you ' ll see all summertime.,3
12642,"` ` Frailty ' ' offers chill much corresponding those that you get when baby sit around a campfire around midnight, say creepy stories to give each other the willies.",4
12643,"And, there ' s no way you wo n ' liothyronine be talking about the film once you go out the dramatics.",3
12644,"Quiet, adult and just around more stately than any modern day movie this year. .. a rightful study, a film with a question heart and thinker that cost n ' t afraid to admit it do nitrogen ' t have entirely the answers.",3
12645,"In the end, the film is to a lesser extent the brassy thriller you ' d look than it is a reasonably revealing study of it 2 main characters - - damaged - goodness people whose orbits will inevitably and perilously collide.",3
12646,"Some of the visual flourishes personify a little overly obvious, simply confine and subtle storytelling, and fine functioning make this delicate coming - of - years tale a treat.",4
12647,Information technology be hard not to be especially thankful for freedom after a film like this.,3
12648,The dirty jokes put up the funniest minute in this oddly sweet smelling comedy astir jokester highway patrolmen.,3
12649,.. . works on some level and is certainly worth seeing at least once.,3
12650,"You come away from his film overtake, hopeful and, possibly paradoxically, illuminated.",3
12651,"If the textile is slight and admittedly manipulative, Jacquot preserve Tosca ' s intoxicating ardor through his use of the photographic camera.",3
12652,"Xiii Conversations About One Thing lay out a narrative puzzle that interweaves individual stories, and, alike a August f. mobius strip show, elliptically loop back to where information technology began.",3
12653,"Overall, information technology ' s a wacky and elysian piffling film that figure out effortlessly at delivering genuine, vitriolic laughs.",2
12654,"A must for fan of British cinema, if only because so many behemoth of the industry are along for the ride.",4
12655,"Tsai has cope to create an underplayed melodrama astir menage dynamics and dysfunction that harks back to the spare, unbridled heartache of Yasujiro Ozu.",2
12656,"Information technology ' s a good picture, only information technology falls short of it aspiration to be a true ` epic '.",2
12657,"All the piece fall together without much surprise, just little moments give it a rise.",3
12658,The beauty of Alexanders Payne ' s ode to the Everyman be in the details.,3
12659,A affecting drama about old age and grief with a hitch de power performance by Michel Piccoli.,4
12660,The ending feels at odds with the rest of the photographic film.,3
12661,"A tone of rueful compassion. .. reverberates throughout this film, whose import and impact is lamentably heighten by current humankind case.",3
12662,A beautiful paean to a clock time long yesteryear.,3
12663,Dense and thoughtful and brimming with ideas that be too complex to be rapidly absorbed.,2
12664,"If you think Tom Hank was simply an ordinary braggy - screen star, time lag until you ' ve seen him eight stories tall.",2
12665,"Shyamalan volunteer copious wind along the way - - myriad signs, if you will - - that beneath the familiar, laughable earth's surface is a far prominent, far more meaningful story than one in which little green men come to Earth for glean purposes.",3
12666,"This moving picture exist an act of spectral faith - - an eloquent, deeply sense meditation on the nature of compassion.",3
12667,"A unlike sort of dearest narrative - one that is dark, disturb, atrocious to watch, yet compelling.",2
12668,Splendidly exemplify the ability of the human spirit to subdue adversity.,3
12669,"A compelling, intestine - clutching piece of advocacy picture palace that carries you along in a torrent of emotion as it explores the awful complication of one terrifying day.",4
12670,"She ' randomness as rude and profane as ever, constantly hilarious and, most of the time, dead right in her stinging social observations.",4
12671,"To those who have not read the record, the film be a a great deal better mother - daughter tale than utmost summer ' s ` Providential Secrets of the Ya - Ya Sisterhood, ' simply that ' s not say much.",3
12672,"Even before it build upwards to its madly staged dance palace scene, in which 3000 actors appear in full regalia, it ' s waltzed itself into the artistic production film pantheon.",3
12673,"A thoughtful, reverent portrait of what is essentially a subculture, with its own rule regarding love and family, establishment and power structure.",4
12674,"It appear impossible that an epic quaternary - hour Indian musical astir a cricket biz could be this good, simply it be.",3
12675,Volition sure appeal to Asian cultus cinema sports fan and Asiaphiles interested to see what all the fuss constitute about.,3
12676,"Touches smartly and wistfully on a telephone number of themes, non least the whim that the marginal members of society. .. might gain from a help hand and a well disposed kick in the pants.",3
12677,A wildly entertaining scan of Evans ' career.,4
12678,"A mature, profoundly felt fantasy of a director ' sulphur travel through ccc yr of Russian history.",3
12679,"Boldly engineering a collision between tawdry B - movie flamboyance and grandiose spectral anomy, Rosebush ' s film, rightful to information technology informant material, ply a tenacious demonstration of demise as the great equalizer.",2
12680,"A finely tuned humour piece, a model of imperil ambiance.",4
12681,"The Salton Ocean has moments of divine humor, though every scrap is of the sinister variety.",3
12682,Both a attractively made nature film and a tribute to a womanhood whose passion for this region and information technology inhabitants still effulgence in her quiet disconsolate eyes.,4
12683,"Although shot with little style, Skins is heartfelt and achingly literal.",3
12684,Harks back to a fourth dimension when movie had more to do with imagination than market place research.,3
12685,"Upsetting and thought - provoking, the film consume an leftover purity that does n ' mt bring you into the characters so often as it has you study them.",3
12686,A rattling pretty after - schooltime special.,2
12687,"It ' s an effort to check this movie, simply information technology finally pays off and is good if you adhere with information technology.",3
12688,A harrowing score of a psychological crack up.,3
12689,"Continually dispute perceptions of guilt and innocence, of good guy and bad, and asks us whether a imposing end can justify evil means.",3
12690,Information technology certainly wo n ' t win any awards in the plot department but information technology coiffure out with no pretensions and delivers bountiful clip.,3
12691,"Dog Soldiers does n ' t transcend literary genre - - it embraces information technology, perk up information technology and take big bloody chomps ko'd of it.",3
12692,"At erst emotional and richly analytical, the Cosby - Seinfeld encounter solely confirm the life threatening weight behind this superficially loose, larky docudrama.",2
12693,"Information technology crataegus oxycantha scream downcast budget, but this charmer has a spirit that can not equal denied.",3
12694,` Alice ' s escapade done the looking glass and into zombie - din land ' cost filled with strange and grand creatures.,3
12695,"He scuff it back, single - turn over.",3
12696,"A good euphony documentary, probably unmatched of the good since The Last Waltz.",4
12697,"If the plot seem a moment on the skinny side, that ' s because Panic Room is interested in nothing more than than give suck you in. .. and making you perspiration.",3
12698,"The moving picture show become an overwhelming pleasure, and you obtain yourself rooting for Gai ' s character to obviate the fate that have befallen every early Carmen before her.",3
12699,Broomfield has a rather unique advance to documentary.,3
12700,He thinks the moving picture be just now as much a document about him as it is astir the topic.,1
12701,"At its best when the guarded, resentful Betty and the manipulative as yet needy Margot are front and sum.",2
12702,Gloriously straight from the vagina.,2
12703,"Information technology ' s to a fault quirky and a little underconfident in it rescue, but otherwise this be the best ` erstwhile region ' project since Christopher Walken kinda romanced Cyndi Lauper in The Opportunists.",3
12704,The picture show oozes craft.,3
12705,Robinson ' s network of suspense correspond the page - turning frenzy that Clancy creates.,4
12706,Manages to equal both hugely entertaining and uplifting.,4
12707,A classic fairy tale that perfectly captures the wonders and worries of childhood in a way that few movies let e'er near.,4
12708,Information technology ' s the unsettling range of a war - desolate land that prove more potent and riveting than the unbelievable story of Sarah and George harrison.,2
12709,a wonderfully warm human drama that remains vividly in memory long after watch,3
12710,"Jaunty fun, with its celeb - strewn backcloth well employ.",2
12711,"Recoing ' s fantastic operation make due north ' thymine exactly reveal what makes Vincent tick, but possibly any definitive account for information technology would have felt like a cheat.",2
12712,"Washington overcomes the book ' s flaws and envelops the audience in his eccentric ' s torture, choler and frustration.",3
12713,"The flick intrepidly get under the skin of the people involved. .. This makes it not only a detailed diachronic written document, simply an engaging and move portrait of a subculture.",3
12714,"A searing, epical treatment of a nationwide blight that seems to be, horrifyingly, always on the climb.",3
12715,"Not a moving picture for the syncope of heart or cautious of spirit, but for the rest of u - - specially San Francisco fan - - it ' s a spirited film and a must - look.",3
12716,Read My Lip be to cost viewed and prize for its over the top intelligence and originality as well as its lyrical variations on the game of love.,4
12717,"The color mother wit of Stuart Little 2 is its most immediate and most obvious joy, but information technology would weigh for very little if the movie were n ' t as beautifully shaped and as delicately calibrated in tone as information technology be.",3
12718,Any movie that makes hard piece of work seem heroic deserve a looking.,3
12719,"Information technology may not be a huge track of above the rest, but I love Barbershop.",3
12720,It ' s a comic little movie with clever dialog and likable characters.,4
12721,"A different and emotionally reserved type of survival story - - a celluloid less about refract all of Populace Warfare II through the specific condition of unmatchable gentleman's gentleman, and more about that man lost in its midst.",3
12722,"Information technology ' s sweet, funny, charming, and totally delightful.",4
12723,A perfectly competent and often inventive plastic film that lacks what little Lilo & Stitch had in spades - - personal appeal.,2
12724,"Beautifully shot against the frozen winter landscape of Grenoble and Geneva, the film unfolds with all the mounting tension of an expert thriller, until the tragedy beneath information technology all gradually expose itself.",4
12725,"Medem may receive uncase most of the cast, leaving their bodies exposed, only the plot remains as guarded as a virgo the virgin with a sexual morality belt.",1
12726,That ' s wherefore Sex and Lucia is and so alluring.,3
12727,"An elegant workplace, Nutrient of Love is as consistently engaging as information technology follow revealing.",3
12728,"Although for the most part a lowering - handed indictment of parental failings and the indifference of Spanish societal workers and effectual system towards child contumely, the film retains ambiguity that prepare it advantageously worth watching.",3
12729,A behind the panorama search at the training and dedication that go into become a worldly concern - class fencer and the champion that ' sulphur made a difference to NYC internal - metropolis youth.,2
12730,"A einstein twister, less a motion picture show - movie than a funny and weird speculation on Hollywood, success, artistic integrity and noetic failure.",2
12731,"A powerful, incitive film astir religion that dares to oppugn an antediluvian faith, and about hatred that offers no promiscuous, comfortable resoluteness.",3
12732,"In its ain floundering way, information technology gets to you.",3
12733,Just similar Igby.,2
12734,"Paying back to Never Country crataegus laevigata be another shameless endeavor by Disney to rake in bread from baby boomer families, but it ' s not half - bad.",3
12735,Wise and deadpan humorous.,3
12736,God bless Crudup and his distaste to taking the promiscuous Hollywood road and cashing in on his movie - star gorgeousness.,3
12737,"If Foretoken represent a skillful picture, and it be, the essence of a great one is in there somewhere.",2
12738,Veterans of the geological dating wars will smirk uneasily at the plastic film ' s nightmare versions of casual sex activity - in - the - city mischance.,2
12739,Schrader examines Hart crane ' s decline with unblinking candor.,3
12740,"You can watch, giggle and get an epinephrin boost without feeling like you ' ve altogether lowered your amusement touchstone.",3
12741,"This rich, bittersweet Israeli documentary, about the animation of song - and - terpsichore - man Pasach ` ke Burstein and his family unit, transcends ethnical lines.",3
12742,"Sensitively examines general government issue of race and justice among the hapless, and specifically raise sober question about the demise penalty and ask what good the implementation of a mentally challenged woman could possibly do.",2
12743,Cool convenience and creatures maintain this fresh.,4
12744,"Not as safe as the original, but what be. ..",2
12745,"Presents a side of contemporary Chinese life that many outsiders will be surprise to know exists, and do hence with an artistry that too smack of revelation of saint john the divine.",3
12746,"Engages us in unvarying fits of laughter, until we find ourselves surprised at how much we care astir the story, and terminate up walking stunned not only satisfied but as well somewhat touched.",4
12747,"a bilingual smoothie, exactly like the woman world health organization inspired it",3
12748,"Blisteringly rude, scarily amusing, dolefully sympathetic to the equipment casualty information technology surveys, the moving picture show has in Kieran Culkin a pitch - perfect Holden.",4
12749,"The quaternary ` ` Pokemon ' ' represent a diverting - - if predictable - - risky venture suitable for a matinee, with a content that cautions tike about disturbing the creation ' s delicate ecological residuum.",3
12750,"What i is left with, still after the most awful acts are committed, exist an overpowering sadness that feels as if information technology take made its elbow room into your very bloodstream.",3
12751,Nothing too deep or real.,1
12752,"Explosions, gag, and sexual innuendoes burst.",2
12753,"Miyazaki ' s nonstop images represent thus stunning, and his imagination thus bright, that the solitary possible complaint you could have about Spirited Away is that thither is no rest period, no timeout.",4
12754,".. . a delightfully unpredictable, hilarious funniness with fantastic performances that tug at your heart in ways that dead pass gender labels.",4
12755,"Assured, vital and well wrought, the celluloid is, arguably, the most accomplished study to particular date from Hong Kong ' atomic number 16 versatile Stanley Kwan.",4
12756,"Delia, Greta, and Paula social station as three of the most multilayered and sympathetic female fibre of the yr.",4
12757,"As each of them hunt for their position in the world, Glenn miller digs into their very mind to find an unblinking, flawed humanity.",3
12758,A surprisingly sweet and gentle drollery.,3
12759,"Shanghai Ghetto, much stranger than any fabrication, play this unsung slice of account affectingly to life.",3
12760,"It ' s not particularly well clear, only since I find myself roar more than cringing, I ' d allege the film forge.",3
12761,But this be Lohman ' s film.,2
12762,Her performance moves between grief and rebellion as she continually taste to lodge to suit in and gain the unconditional love she look for.,3
12763,"Though its story is only surface deep, the visuals and enveloping sounds of Blue Crush gain this surprisingly nice flick deserving a summertime spirit - see.",3
12764,"Ryosuke have create a wry, winning, if languidly paced, meditation on the meaning and value of house.",2
12765,"Sometimes charming, sometimes infuriating, this Argentinean ` dramedy ' succeeds mainly on the shoulders of information technology doer.",3
12766,You may experience compelled to look on the film twice or nibble up a playscript on the subject.,3
12767,Ofttimes shocking but ultimately worthwhile exploration of motherhood and desperate mothers.,4
12768,"A venturesome, beautifully clear psychological humour while that reveals its first - sentence feature director ' s understanding of the expressive power of the tv camera.",4
12769,"Like The Rugrats picture show, The State of nature Thornberrys Movie does n ' t offer a great deal more than the series, but its emphasis on worry for brute and observe early cultures be peculiarly welcome.",3
12770,", The Center of All Care is simply a fountainhead - made and satisfying thriller.",4
12771,"The setting embody so cool that it chills the type, contract our emotional stakes in the outcome of ` ` Intacto ' s ' ' serious and temptingly stylish secret plan.",2
12772,A adorable and attractively photographed romance.,3
12773,One of the most splendid amusement to come forth from the French film industry in years.,4
12774,Its vision of that awkward years when sexuality threatens to overwhelm everything else is needlelike enough to get everyone who have been there squirm with recognition.,2
12775,"For near the first two - third of Mary martin Martin scorsese ' s 168 - minute Mob of New House of york, I was entranced.",3
12776,"Unresolved - end and pen of layer upon bed, Talk to Her be a cinephile ' s fete, an invitation to countless interpretations.",2
12777,One of the virtually slyly exquisite anti - adult movies ever spend a penny.,4
12778,What makes Esther Kahn so demanding is that information technology progresses in such a gloomy - key manner that it risks sameness.,1
12779,But it ' s worth the assiduity.,3
12780,"Neither the comic film that Eddie Murphy nor Robert Delaware Niro ingest always hold, Showtime is nevertheless expeditiously amusing for a good while.",3
12781,"Before information technology collapses into exactly the form of buddy cop comedy it set out to satirise, anyways.",1
12782,A clever script and skilled actors bring new energy to the conversant topic of office staff politics.,3
12783,"The determination of Pinochet ' s victims to seek justice, and their often heartbreaking testimonial, verbalise immediately into director Patricio Guzman ' s camera, compact a powerful emotional wallop.",4
12784,"Disney aficionados will notice distinct parallel between this tale and the 1971 musical ` ` Bedknobs and Broom handle, ' ' which also shell out with British children rediscover the power of fantasy during wartime.",2
12785,"It ' s. .. deserving the extra effort to encounter an artist, still committed to growth in his 9th decade, change while stay true to his principles with a flick whose very subject is, quite an pointedly, about the peril of such efforts.",3
12786,"Dark and unrepentant, this outing into the epicentre of percolating genial instability be not well dismissed beaver state forgotten.",3
12787,"It ' s a coltish adventure for you and all your mateys, regardless of their years.",4
12788,"Vaunt a handful of virtuosic set small arm and provide a fair amount of trashy, kinky fun.",3
12789,.. . Myers stimulate turned his franchise into the movie reading of an teenager dirty - joke book do upward in situation - Tarantino pop - refinement riffs. ..,2
12790,"If you ' re cut down for a dizzy taxi - and - slash flick, you tin arrange no wrong with Jason X.",3
12791,"This is a really challenging undertaking for a evenhandedly inexperienced movie maker, but good worker, good verse and good music help sustain it.",3
12792,The modern master copy of the pursual sequence counter with a salmon portland chase to end all chases,4
12793,"The messy emotions raging throughout this three - minute endeavor be instantly recognisable, countenance the motion picture to paradoxically feel familiar and alien at the like time.",2
12794,.. . either you ' re willing to live on with this claustrophobic concept or you ' re not.,2
12795,Just watch Bettany strut his stuff.,2
12796,You ' ll know a star when you see ace.,3
12797,"Austin Powers in Goldmember be a cinematic cable car shipwreck, a catastrophic hit of savorlessness and rancour that nevertheless will allow fans clamoring for another ride.",1
12798,"You hind end fire a gunslinger through some of Clancy ' atomic number 16 holes, and the scripters make n ' t deserve any Oscars.",0
12799,"But the nerve - run down acting, the crepitation of lines, the impressive staging of ironware, make for some robust and scarey entertainment.",4
12800,contrasting the original Ringu with the current Americanized adaptation is akin to comparing The Evil Dead with Evilness Dead 2,1
12801,"A small treasure of a movie that defies categorization and is as thought - provoking as information technology is funny, scarey and sad.",3
12802,"For a farsighted clip the film follow with its darkness, delicate treatment of these characters and its unerring deference for them.",3
12803,Information technology ' s the kind of effectively creepy - scary thriller that get you fixating on a far corner of the concealment at times because your nerve just ca n ' t take it any more.,4
12804,Tardy Marriage is an in - your - face class play and inglorious comedy that live filled with new emotion conveying despair and love.,3
12805,An ambitious and go but bleak pic.,2
12806,"It ' s too harsh to shape as a piece of storytelling, but as an rational use - - an unpleasant debate that ' s been given the drive of a narrative and that ' s been acted extinct - - The Truster be nothing less than a provocative piece of work.",3
12807,It ' s sweet.,3
12808,It ' s funny story.,3
12809,It wears its heart on the arm of its gaudy Hawaiian shirt.,1
12810,"And, thanks to the presence of ` the King, ' it as well rock.",3
12811,"It ' s never laugh - out - meretricious funny remark, but information technology is often amusing.",3
12812,"A woody nightshade pic, simple in form but rich with human events.",3
12813,The undiscovered tale opportunities of ` ` Perforate - Rummy Love ' ' may get work against the maker ' s minimalist intention but information technology is an interesting exercise by talented writer \ / director Anderson.,3
12814,` ` Punch - Sot Honey ' ' follow a lilliputian like a chocolate milk river moustache. ..,2
12815,.. . digs beyond the common portrayals of good kids and spoiled seeds to let on a to a greater extent ambivalent set of fictitious character and motivating.,3
12816,The beauty of the piece is that information technology reckon heart as important as temper.,3
12817,"Piercingly affecting. .. while distinctly a manipulative photographic film, egress as powerful rather than cloy.",3
12818,"Very amusing, non the common route in a thriller, and the performances are odd and implike and sometimes both.",3
12819,While the frequent allusion to guru and doshas will strike some Westerners as verging on mumbo - jumbo. .. broad streak of common sense emerge with unimpeachable clarity.,3
12820,"The cast be phenomenal, especially the women.",4
12821,A marvel of production plan.,4
12822,"Good doer have a radar for juicy roles - - there ' s a plethora of lineament in this picture, and not one of them embody categoric.",3
12823,"Though in some ways similar to Catherine ii Breillat ' s Fat Girl, Rain is the far ranking film.",4
12824,"Be not and then much a work of entertainment as it make up a unique, substantially - craft psychological study of grief.",4
12825,"Remarkable for its fantabulous storytelling, information technology economic, compressed characterisations and for information technology profound humanity, it ' s an dangerous undertaking story and history object lesson all in one.",4
12826,"Colorful, gumptious and sweet impulsive. .. the rarefied sequel that ' s better than information technology predecessor.",4
12827,Reno himself buns admit credit entry for most of the movie ' south success.,3
12828,He ' s one of the few ` cool ' actor who never look cognisant of his ain coolness.,3
12829,Significantly better than information technology 2002 children ' s - moving picture show competition.,3
12830,"UB equally spoofs and keep the to a greater extent flakey aspects of ` black culture ' and the dorkier look of ` whitened culture, ' even as it points ko'd how inseparable the two are.",3
12831,A circle smarter than your average Bond.,3
12832,".. . burnished, levelheaded, and humanly laughable film.",4
12833,"Painful, horrifying and oppressively tragic, this film should non embody missed.",4
12834,Part of the film ' s cheeky spell amount from its time of origin schmaltz.,4
12835,And so unparalleled and stubborn and charismatic that you want it to be full and more successful than it is.,2
12836,"I wo n ' t argue with anyone world health organization send for ` Slackers ' dumb, insulting, or infantile. .. merely Atomic number 53 laughed so much that Atomic number 53 did n ' thyroxin mind.",2
12837,"Information technology arrives with an impeccable pedigree, mongrel pep, and about unclear plot complications.",2
12838,"So devilishly cunning that still the most jaded cinema audience will lead the auditorium feeling dizzy, confuse, and entirely disorientated.",3
12839,Not to mention absolutely freshen.,4
12840,"A vibrant, colourful, semimusical interpretation.",4
12841,"The film sometimes flags. .. only there exist enough secondary action to hold affair incite on at a brisk, amusing pace.",2
12842,"It ' s a drawling, drivel, lovable run - on sentence of a film, a Southern Gothic with the excited electric arc of its crude blue soundtrack.",2
12843,Nolan prove that atomic number 2 can cross swords with the honest of them and helm a to a greater extent traditionally plotted popcorn thriller while surrendering little of his intellectual hardship beaver state creative composure.,4
12844,"It is dissimilar from others in its genre in that it be does not rely on obtuse jest, anatomical humor, or theatrical role cliches; information technology in the first place relies on character to tell its news report.",4
12845,Both a successful adaptation and an gratifying film in its own right.,4
12846,"All the filmmakers be asking of us, embody to trust in something that constitute improbable.",2
12847,"If the really concept make you nervous. .. you ' ll birth an estimation of the film ' s creepy, scary effectiveness.",2
12848,"Worth a look by those on both sides of the issues, if only for the perspective it offer up, one the populace seldom watch.",3
12849,"A mostly believable, refreshfully down in the mouth - keystone and quietly inspirational little sports dramatic event.",3
12850,"English hawthorn exist more than genial than ingenious, but it gets the problem done.",3
12851,A stylish roll and some clever script result help Chicago work the transition from stagecoach to screen with considerable appeal intact.,3
12852,"Exhilarating, funny and fun.",4
12853,"While non quite ` ` Shrek ' ' or ` ` Lusus naturae, Iraqi national congress. ' ', information technology ' s non too bad.",3
12854,Information technology ' s worth taking the kids to.,4
12855,In the end thither is one word that adept describes this motion picture show: honest.,3
12856,"Author - conductor David Jacobson and his star, Jeremy Renner, have made a remarkable film that explores the monster ' s psychology non in ordering to excuse him but rather to demonstrate that his pathology evolved from human urge that grew hideously twisted.",4
12857,The action episode are fun and reminiscent of fight scenes from the Star Wars series.,3
12858,Norton is magnetic as Graham.,3
12859,Discernment director Robert J. Siegel and his co - writers keep the report subtle and us in suspense.,3
12860,"It draw the rug out from nether you, scarcely when you ' re ready to hate one character, or rattling sympathize with another type, something happens to send you sour in unlike focusing.",2
12861,"20 years after information technology maiden vent, E. T. remains the most terrific of all Hollywood fantasy - - and the vertex of Steven Spielberg ' s misunderstood career.",4
12862,Information technology say a lot astir a filmmaker when helium can be wacky without cream the consultation over the head and still maintain a sense of urgency and suspense.,2
12863,"Gives us a heap to chew on, only not all of it has been the right way digest.",2
12864,"It ' s an exhilarating position to visit, this lab of laughter.",4
12865,` ` Simone ' ' make up a fun and funky look into an artificial creation in a world that expand on artificiality.,4
12866,A cracking companion piece to other Napoleon films.,3
12867,"To others, information technology will remind them that Hong Kong natural process cinema is still alert and kicking.",3
12868,"At the end of the picture show, my half dozen - year - previous nephew say, ` ` I guess I come up from a crushed family, and my uncle are all aliens, too. ' '",2
12869,"Congrats Disney on a job well serve, I enjoyed it just now equally much!",4
12870,A outstandingly alluring moving picture show set in the constrictive Eisenhower era about unity suburban woman ' s longing in the face of a loss that shatters her cheery and calm suburban life.,3
12871,"Uplifting, mirthful and wise.",3
12872,Remarkable for information technology intelligence and intensity.,4
12873,The spellbinding imagery and fragmental tarradiddle explore the connections between place and personal identity.,3
12874,Brosnan is more feral in this film than One ' ve seen him before and Halle Berry do her best to prevent upwards with him.,3
12875,A film that begins with the everyday lives of naval personnel in San Diego and ends with scenes so dead on target and heartbreaking that tears welled up in my eyes both times I see the film.,4
12876,` ` On Safety! ' ',2
12877,"wo n ' triiodothyronine represent placed in the pantheon of the best of the swashbucklers merely it is a whole lot of playfulness and you commence to see the one of the world ' s best actor, Daniel Auteuil, own a whale of a good time.",4
12878,The movie starts with a legend and ends with a story that is so far - fetched it would live out of the question to trust if it comprise n ' t true.,1
12879,This is the stuff that Disney movies are create of.,3
12880,"Like all great films astir a life you never have a go at it existed, information technology bid much to absorb and even more than to call up about after the final physique.",4
12881,That the vitamin e - graveyard holds as many good mind as bad is the cold puff that Kuki chin ' reciprocal ohm film serves up with panache and empathy.,3
12882,"While we no longer possess the deficiency - of - attention span that we did at 17, we get no worry sitting for Blade deuce.",3
12883,like a pathetic military man ' s You Can Count On Me,2
12884,".. . a solid, retiring play.",3
12885,A seriocomic introduction of extravagant hope by Georgian - Israeli director Dover Kosashvili.,3
12886,"Thanks to Ice Third power, Benjamins feels an awful lot like Fri in Miami.",2
12887,"The real ace of this flick is the scotch, as in the sung dynasty translate well to film, and it ' s actually well directed.",3
12888,"Information technology ' s rare to find a cinema to which the adjective ` gentle ' applies, but the word perfectly describes Pauline & Paulette.",3
12889,My Wife be an Actress has its moments in depend at the funny effects of green eyed monster.,4
12890,"In the remainder, though, it is only mildly divert when it could have embody and so a great deal more.",2
12891,"Both Garcia and Michael philip jagger sprain in perfectly do and wonderfully sympathetic characters, world health organization be alternately touching and rummy.",3
12892,"Humorous, artsy, and even cute, in an polish off - kelter, dark, vaguely disturb way.",2
12893,"The more you remember about the movie, the more you leave in all likelihood like information technology.",3
12894,.. . a herculean continuation and one of the best movie of the year.,4
12895,"For the most part, the celluloid does hold up moderately well.",3
12896,You buns take the grandkids operating theatre the grandparents and never vex about anyone being tire. .. audience is a ocean of constant grinning and frequent laughter.,4
12897,Like these Russo guys lookin ' for their David mamet instead found their Sturges.,2
12898,"By apply definition to both sides of the human being, the picture realizes a fullness that do non nullify the subject.",3
12899,Who be the audience for Cletis Tipster?,2
12900,"Anybody world health organization enjoys quirky, playfulness, popcorn movies with a touch of giddiness and a little bloodshed.",3
12901,Puts to rest any thought that the German film industry give notice not make a delightful funniness center on food for thought.,4
12902,Witty dialogue between realistic theatrical role showing honest emotions.,3
12903,It ' s touching and legal tender and proves that yet in sorrow you can find mood.,3
12904,"Similar blended shades of lipstick, these constituent combine into single terrific tarradiddle with lots of jest.",4
12905,"Ash Wed constitute not Black prince Burns ' best film, but it is a good and challenging celluloid.",3
12906,And it marks him as one of the most interesting author \ / conductor working today.,3
